NMI,MIRN
60013455508,53301770166
64073296749,53203149334
61023912261,53312848824
62036845041,53312970126
62037100480,53104188953
62039905784,53313074471
60012501353,53108205142
NCCC0000367,53210230375
61022012734,53214135357
61025146422,53107102548
61025040164,52407440242
60012560779,53303742210
64076533890,53103734061
61022990657,53313227565
31203486642,52407388522
60010514266,52481298614
64073014326,52406383748
QB110887295,53211886273
62040299367,54201072414
31144117175,52482733963
41040552837,53220860518
60012454154,52469572542
41030755473,53313311999
41030752743,52400487926
20015961151,52406513702
60013407418,53108559075
41028944830,53201527879
70011191081,55100773273
41039930648,55107221749
QB053966543,55106750532
41020251435,55107368184
61021010476,53107898358
61030343717,55102556315
61030112675,53312236857
61027692249,55106378201
42040106922,53210251554
20012943309,52481790769
64072829913,54200295312
60013427546,5600402410
41020094002,53107869432
41027358420,52471013883
41037307162,52471651344
T2122683,53211824224
63053096833,52423917171
64077843264,52421381125
64078010553,52481278466
61028118337,54101531634
61021333386,53213935945
41020162410,52423810016
20012154634,52421248901
QB075174085,53303351212
41035231744,53309783349
41030600302,53101753089
31203416939,54201122878
40012870718,53101718223
64076423860,52470521853
41037401643,53211827203
7263902137,53110146376
63053621128,53107308325
61030478967,53303282613
6102001002,53102071106
62031226288,56004523335
63060035742,53110110664
43108902580,53211204881
44071192169,53214147757
43111649956,52484260537
43107136828,53214133351
ECP033931,53201665201
60011232072,53108714794
QB010185075,53108742349
80010032556,52403238707
43100277018,52405650439
41036265048,53303368220
41037805553,53213600121
41029573746,53303832904
QB058430736,52406979181
44071702691,52484307412
80010119890,52610330506
61020045984,53312982310
41035085903,53216773524
61022330432,55105311148
61030457029,52471575956
60013401504,53104686781
64072641376,52483416221
41020236724,53108493273
43100296118,53219934248
41039481057,53200784133
31207882787,52423911829
63055908348,53103877249
60010676215,53104349826
60013457214,53214119096
61029881117,53301622786
61024570112,53216773310
62040442604,53311738409
41034919613,52400288381
QB053743751,53104117432
44071772769,52402772465
31202986725,53105453966
61020310315,53104376697
41040060529,52483972544
QB101601329,53211536572
250352694,52402934338
64073423095,53108529689
331156238,53313301784
41040678658,53212172559
64073872373,53220890175
61023020175,52407553184
60015120953,54100737288
40013166735,53104299048
44073194808,53300976837
41039367427,53300961154
61025198687,55105592389
41030827041,55104656723
41028654497,53106938858
64072967737,53107452346
QB120174180,53101009542
64076241248,53109064349
20023505575,53211395814
20012284356,53101880001
63057355556,53306148829
61028410270,53104162413
61030415359,54201208099
64073297259,54201033646
62035714040,52407971485
60013989248,53109407555
61028944721,53301687095
62033803852,5510482193
62040926318,53304389028
61027402186,53107752992
60012487442,54101625443
61027354107,53201904227
64075323079,53105179852
62030079763,53202756294
64076394054,53108193140
41034417830,52469705509
41029288286,52401744671
62033838625,52416350755
62033953128,52408336408
21405587,53212046300
41034079954,53210273706
62030046814,53201100929
61021655260,52416431984
43110113121,52406274376
61027398078,53107316049
60015066246,53203006560
41028988904,53307774944
63050039003,52405804812
41030599047,52462058425
64073889997,52610151655
64073635277,52423638001
62032046415,52422233545
62038698661,52405559539
6407598978,52420424313
31201675166,52470028329
64072904047,53301388058
41023227125,53313338890
64072903361,53305734024
61023931866,53309913749
63060037283,53305768188
41040637489,53312131004
62031005802,53210224236
20010085412,53305871587
4103808388,53311090805
41040637497,53305770038
41031797061,53300467043
4103508556,53300518747
VAAA0011191,53400229573
63058871750,53219565029
41030122238,53200988171
NCCCZ015854,53313535646
4103519809,53302826997
41040327726,53101804702
61027731009,53211811836
4103519812,53302769782
NEEE0042077,53311164275
31200055056,53302768644
QB105762585,53302659836
63051771819,53313022629
62030626984,53211534017
44073773243,53211534164
40011525453,53104942092
61020938014,53304181800
64073890534,54200370940
41020208351,54201236735
62030041798,52700015249
6102273043,53108213631
63057307045,54101429794
40011524902,53102503055
61030577230,53107150508
64083204345,52472237041
61029019758,52472024531
61023630908,52423205461
43105887742,52407346408
61030559023,52470164159
31206470990,53109166717
41038495009,52483111429
QB066590985,52610352004
60013281747,52405928923
219551631A,53108404264
63057585204,53302755238
61030548159,53304156932
61021898735,53211823796
61030620776,53100591326
61029417322,53215848501
QB117466707,53106045276
QB122788744,52483173673
20012897769,55106881361
20015788800,53238076767
QB021095064,53105095902
QB021095147,52471368870
20021116115,53202249398
61028011056,52408357857
61025241727,52483868494
20013939552,52484220905
20011516075,52405861928
63057503395,53202901811
64074368209,52600212142
80010065788,53216723685
ENVCH283867,52482778595
80011410141,52405133139
VAAA0033318,52483500430
64076699171,52404173333
62030030775,53100568637
80022519614,53211824200
BUSINESS,53217015953
80020650512,53109627815
64072857839,52423319542
64072903116,
31173234955,52416321764
80023273571,53109174263
20025710827,53301933102
61028090792,53302943461
44071369087,52420757026
41033146572,53218941782
31207266321,52405578175
43107330248,5600402128
80011421237,54100627036
64082739233,53211883543
63057855331,53211347953
41020180693,55107586380
80016654442,53309099342
41020289581,52423904039
31201370386,52423904015
CUST0MER,54201253763
63052313403,53104749777
64072968289,53104266237
61028414750,52470846794
80010126770,53109188157
3034141863,53201079411
43111458365,53100890321
QB040938877,53211441352
QB122788910,52472085096
62038671529,53211294329
QB040938011,52471610517
QB040938102,53210300155
80002865616,52403572997
41034973809,52423674269
61028891445,53312982269
64074599076,53216059562
41040986044,53200651153
44072521927,53202014706
20023505542,52421553580
64075682038,52471432073
61030277681,53220232243
62040105898,53220575040
41027694405,53307697008
20010483150,52421079159
ECR004581 ,53102941818
QB087186013,53312551257
NEEE002167,53201917849
4103760234,53307528424
4311158158,55102065028
61022378167,53215618789
25010252577,53200630512
43103538712,52400878587
43103538686,53108600816
60012586831,53107672878
70011674645,53108794886
6103064796,53104188945
62030083154,53108077054
62038804855,57645060803
20021289881,54201056177
41033898170,55106378192
62038771510,53212973979
62034176630,53313456974
62032918684,53203463576
41035920354,52404756401
ENVC039349,53106952255
40012849288,53104402543
44070295029,53108207641
62035714032,53101452260
63057500766,52470797154
2112010101,53211274628
63057515648,54201177089
64077791621,53107370284
62038176594,53311253813
4103903917,53203376111
62040911817,53109913825
41040760465,53211811713
70011682648,53218800872
62040323448,52600695801
61023242049,52403965993
ID10175584,52610239232
63060598136,53109913819
61027093143,52657623059
40011524793,52403526341
31173234871,53104376557
41034946517,52407123343
CR0YD0NVIC,52423844085
3120346125,53306249922
REFERENGEG3,52400290736
31202830453,52403504463
QB023593410,53214136990
44072967104,55102558815
41040425232,53212064756
64077856977,53212950870
63053265923,53203465029
QB083425551,53201990113
SAAAAAC4833,55105570354
31151189679,52481932541
31201585752,52405597448
QB074460476,52404502517
64082805333,52404608859
41022337346,53313445670
KI0SK,52404710283
41020268973,52482663996
40011525207,52404609188
43112786987,52470036191
31202830461,52471303201
3053002622,52404716019
41020210721,53303466470
43112430463,52471827248
62039094886,54100105944
40012073238,52403542446
41029471562,53305510064
W0D0NGAVIC,52469861609
64078104791,53220214301
43112791015,53101718415
40011524975,53212063930
40011525504,53107785085
40011524712,53211536424
20023187928,53210241092
43104555698,55102427258
43112486168,54100665473
40013270603,52472085582
61023198104,52402176315
ENN0003003,52408202780
40011525702,53305539004
40011744523,52402974310
40011744580,53203452496
64081065683,53203369336
41030920038,52402105067
41030920046,53210251455
41030920054,53106748637
63059779364,55105719826
40012715572,57675013471
60012710715,53105965225
E4MB00W005,53105714194
40011744838,53309486952
40011524950,53312554886
40011524760,53312872171
40011524803,52471345400
40011524811,54100133184
40011525247,52725011890
40011525429,52403935624
41020195469,53308990039
61027790400,52408848161
41038066819,52470794706
40011525512,53235858198
61024015595,52420707916
42040032795,52422156574
43100285381,53109340915
43103425827,52454338413
43111769705,54201034446
43107919109,53106392881
42040282224,54200889590
40011525775,52409092217
62038758357,53211451749
VEEE07XNYN6,53307817125
40011744622,53305947898
40011744895,53237858385
40011745102,53211525294
QB062358915,54101625403
QB019673210,52405842068
20013918763,53104958917
61024388116,5600402490
41038462097,53108720982
43103955997,53109353641
PR0CEEDIN65,52471903925
64073283853,53312959530
43105002741,53238075406
41034874799,52408610169
31200802612,53202320417
41038529250,52483491497
41030514889,53109728727
41040657868,52483150369
41020075869,53203465013
41037820320,53313338841
41020304977,54201240498
41034115413,53105407757
41034868684,53108349212
61025832128,55105162747
44070281698,52470005503
61023632629,52420029575
QB072193519,53100606546
62034109500,53210329103
61025132496,53106128485
20025624027,52483464205
41032321508,54100739962
41020236008,54101793876
31201086514,52420308466
41030800446,52470674171
62039396257,54200922979
60015215487,53104169499
61027400694,52470385167
80002410554,53213381076
64076583390,53238128410
62039956563,53309337360
64077680684,53100691548
41035118364,55106715164
61027790242,52404340306
0,52471324965
20016967619,53107896527
62031224332,53104390541
80010167659,54101625435
62031297536,52403998556
3261621971,52400285826
61022017337,53305436778
40011082926,52470419116
214166421,52408308223
40011082942,52400276131
QB131742404,52407005304
117997,52471241749
61026237129,52400276040
31203678264,53312287461
4407187763,54101625411
61027013547,52404073212
61025098846,52482380404
QB054426309,57627001009
61030529892,53305776272
43114013549,52471828668
43111125578,53301943167
41037156058,53106804960
61024819103,52406012853
61024020101,52402433844
43112837730,53212066728
41020088423,52469966777
61030496103,53313668289
61020490099,53110191219
61026792024,53306212822
43112114812,54201227361
ENVCH096818,53220211638
63050081228,52400833772
70011955029,52400833830
63052755123,5600402396
43103047994,54201050602
20010034269,52471505665
INV04421652,55105697767
43113359611,53105465572
20235474812,53212067254
8000175148,52484311563
20016803532,58200200222
60010529750,52416381478
64071722548,53108680534
41029540509,52470740080
NEEE005247,53313664669
41020143343,52482018194
41040257493,53211279775
41034780116,53304247508
62030576221,52416432080
70011956570,55105552350
70011955509,53102349408
62036364629,55104989924
61030520126,53301551054
70013286843,53217089510
62031423075,52484174498
64072322850,53300298785
60010418566,52477171396
60010506478,53211824232
60010506445,53214260700
60014761440,53300517915
60011280362,53312323349
61020821129,55100895029
61028308714,53214121282
61021431836,53311463444
64073886234,52406066461
80000073643,54200371809
61022287112,53202733797
40012139188,52409282541
41040603855,53102936690
60011313758,0
31162787213,53200889072
20023086378,56009869312
3051860384,5600620316
8001366989,53312704325
64073296731,53108771589
QB078326211,53101794068
60013295977,53238114568
41039211396,54101583659
41038267256,52402055709
